"","B.SPBN.FKDE.Simple","B.SPBN.Simple","GBN.BGe","GBN.BIC","SPBN"
"B.SPBN.FKDE.Simple",NA,0.60597596961688,1.7449962508298e-05,3.34546570393002e-05,1
"B.SPBN.Simple",0.60597596961688,NA,0.00327189327997779,0.00377233491848994,0.60597596961688
"GBN.BGe",1.7449962508298e-05,0.00327189327997779,NA,1,1.7449962508298e-05
"GBN.BIC",3.34546570393002e-05,0.00377233491848994,1,NA,3.34546570393002e-05
"SPBN",1,0.60597596961688,1.7449962508298e-05,3.34546570393002e-05,NA
