"","B.SPBN.FKDE.Linear","B.SPBN.FKDE.Simple","B.SPBN.Linear","B.SPBN.Simple","SPBN"
"B.SPBN.FKDE.Linear",NA,1,0.491941926002298,0.327988138655457,0.823612842928274
"B.SPBN.FKDE.Simple",1,NA,0.491941926002298,0.327988138655457,0.823612842928274
"B.SPBN.Linear",0.491941926002298,0.491941926002298,NA,1,1
"B.SPBN.Simple",0.327988138655457,0.327988138655457,1,NA,1
"SPBN",0.823612842928274,0.823612842928274,1,1,NA
