"","X1.SPBN","X2.BSBN","X3.BSBN.Linear","X4.BSBN.FKDE","X5.BSBN.FKDE.Linear"
"X1.SPBN",NA,1,1,0.000154453591010739,1.68015759083318e-06
"X2.BSBN",1,NA,1,5.72815190720277e-05,3.13034140830837e-07
"X3.BSBN.Linear",1,1,NA,8.3679735012554e-05,7.07039529590503e-07
"X4.BSBN.FKDE",0.000154453591010739,5.72815190720277e-05,8.3679735012554e-05,NA,1
"X5.BSBN.FKDE.Linear",1.68015759083318e-06,3.13034140830837e-07,7.07039529590503e-07,1,NA
