"","BSBN","BSBN.FKDE","GBN.BGe","GBN.BIC","SPBN"
"BSBN",NA,0.629196828201141,0.0187109399241887,0.0218189967285385,0.629196828201141
"BSBN.FKDE",0.629196828201141,NA,0.000450079167992445,0.000708103249587921,1
"GBN.BGe",0.0187109399241887,0.000450079167992445,NA,1,0.000220904969985281
"GBN.BIC",0.0218189967285385,0.000708103249587921,1,NA,0.000450079167992445
"SPBN",0.629196828201141,1,0.000220904969985281,0.000450079167992445,NA
