"","B.SPBN.Simple","GBN.BGe","GBN.BIC","SPBN"
"B.SPBN.Simple",NA,0.00383941437909208,0.00383941437909208,0.157965158527566
"GBN.BGe",0.00383941437909208,NA,1,3.87283139691164e-06
"GBN.BIC",0.00383941437909208,1,NA,3.87283139691164e-06
"SPBN",0.157965158527566,3.87283139691164e-06,3.87283139691164e-06,NA
