B-SPBN-Linear,B-SPBN-Simple,SPBN
0.0,0.0,0.4
0.0,0.0,0.0
0.4,0.4,0.2
0.4,0.0,0.0
0.2,0.4,0.2
0.8,0.2,0.2
0.2,0.4,0.0
0.2,0.6,0.6
0.4,1.0,0.6
0.6,0.6,0.4
0.4,0.2,0.4
2.6,2.2,3.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
