"","B.SPBN.Linear","B.SPBN.Simple","SPBN"
"B.SPBN.Linear",NA,0.647774816820421,0.647774816820421
"B.SPBN.Simple",0.647774816820421,NA,0.647774816820421
"SPBN",0.647774816820421,0.647774816820421,NA
