"","B.SPBN.FKDE.Linear","B.SPBN.FKDE.Simple","B.SPBN.Linear","B.SPBN.Simple","SPBN"
"B.SPBN.FKDE.Linear",NA,1,0.787262487077993,1,0.736382701203027
"B.SPBN.FKDE.Simple",1,NA,0.787262487077993,1,0.787262487077993
"B.SPBN.Linear",0.787262487077993,0.787262487077993,NA,0.961683145473741,1
"B.SPBN.Simple",1,1,0.961683145473741,NA,0.961683145473741
"SPBN",0.736382701203027,0.787262487077993,1,0.961683145473741,NA
