"","B.SPBN.FKDE.Linear","B.SPBN.FKDE.Simple","B.SPBN.Linear","B.SPBN.Simple","SPBN"
"B.SPBN.FKDE.Linear",NA,1,0.831040793190934,1,0.831040793190934
"B.SPBN.FKDE.Simple",1,NA,0.973502999083391,1,0.973502999083391
"B.SPBN.Linear",0.831040793190934,0.973502999083391,NA,1,1
"B.SPBN.Simple",1,1,1,NA,1
"SPBN",0.831040793190934,0.973502999083391,1,1,NA
