"","BSBN","GBN.BGe","GBN.BIC","SPBN"
"BSBN",NA,0.0281243053783049,0.0281243053783049,0.166529033327101
"GBN.BGe",0.0281243053783049,NA,1,8.94140147549294e-05
"GBN.BIC",0.0281243053783049,1,NA,8.94140147549294e-05
"SPBN",0.166529033327101,8.94140147549294e-05,8.94140147549294e-05,NA
