"","B.SPBN.Linear","B.SPBN.Simple","SPBN"
"B.SPBN.Linear",NA,0.633898642001131,0.633898642001131
"B.SPBN.Simple",0.633898642001131,NA,0.633898642001131
"SPBN",0.633898642001131,0.633898642001131,NA
